movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
The Rich Man's Wife,, ,13-Sep-96,Thriller/Suspense,R,"$8,538,318 ","$16,284,619 "
D3: The Mighty Ducks,, ,4-Oct-96,Comedy,PG,"$22,936,273 ","$43,713,554 "
The Associate,, ,25-Oct-96,Comedy,PG-13,"$12,772,657 ","$24,333,094 "
Ransom,, ,8-Nov-96,Action,R,"$136,492,681 ","$259,807,820 "
The War at Home,, ,20-Nov-96,,R,"$34,368 ","$65,543 "
101 Dalmatians,, ,27-Nov-96,Comedy,G,"$136,189,294 ","$258,728,898 "
The Preacher's Wife,, ,13-Dec-96,Drama,PG,"$48,102,795 ","$91,076,877 "
Evita,, ,25-Dec-96,Musical,PG,"$50,047,179 ","$92,077,628 "
Metro,, ,17-Jan-97,Action,R,"$32,017,895 ","$58,804,106 "
Prefontaine,, ,24-Jan-97,Drama,PG-13,"$590,817 ","$1,085,093 "
Shadow Conspiracy,, ,31-Jan-97,Thriller/Suspense,R,"$2,154,540 ","$3,957,025 "
That Darn Cat,, ,14-Feb-97,Comedy,PG,"$18,301,828 ","$33,613,158 "
Jungle 2 Jungle,, ,7-Mar-97,Comedy,PG,"$59,925,026 ","$110,058,379 "
The Sixth Man,, ,28-Mar-97,Comedy,PG-13,"$14,765,099 ","$27,117,599 "
Grosse Pointe Blank,, ,11-Apr-97,Black Comedy,R,"$28,084,357 ","$51,579,764 "
Romy and Michele's High School Reunion,, ,25-Apr-97,Comedy,R,"$29,235,353 ","$53,693,680 "
Gone Fishin',, ,30-May-97,Comedy,PG,"$19,745,922 ","$36,265,379 "
Con Air,, ,6-Jun-97,Action,R,"$101,117,573 ","$185,712,664 "
Hercules,, ,13-Jun-97,Adventure,G,"$99,112,101 ","$182,029,412 "
George Of The Jungle,, ,16-Jul-97,Comedy,PG,"$105,263,257 ","$193,326,632 "
Nothing To Lose,, ,18-Jul-97,Comedy,R,"$44,480,039 ","$81,692,095 "
Air Bud,, ,1-Aug-97,Comedy,PG,"$24,646,936 ","$45,266,588 "
G.I. Jane,, ,22-Aug-97,Drama,R,"$48,169,156 ","$88,467,531 "
A Thousand Acres,, ,19-Sep-97,Drama,R,"$7,928,412 ","$14,561,324 "
Washington Square,, ,5-Oct-97,Drama,PG,"$1,775,644 ","$3,257,546 "
Rocket Man,, ,10-Oct-97,Comedy,PG,"$15,448,043 ","$28,371,890 "
Playing God,, ,17-Oct-97,Thriller/Suspense,R,"$4,166,918 ","$7,652,965 "
Flubber,, ,26-Nov-97,Comedy,PG,"$92,993,801 ","$170,406,423 "
An American Werewolf in Paris,, ,25-Dec-97,Horror,R,"$26,570,463 ","$48,546,161 "
Mr. Magoo,, ,25-Dec-97,Comedy,PG,"$21,437,192 ","$39,145,784 "
Kundun,, ,25-Dec-97,Drama,PG-13,"$5,686,694 ","$10,236,836 "
Deep Rising,, ,30-Jan-98,Action,R,"$11,203,026 ","$20,136,775 "
Krippendorf's Tribe,, ,27-Feb-98,Comedy,PG-13,"$7,571,115 ","$13,608,633 "
An Alan Smithee Film: Burn Hollywood …,, ,27-Feb-98,Comedy,R,"$45,779 ","$82,277 "
Meet the Deedles,, ,27-Mar-98,Comedy,PG,"$4,356,126 ","$7,829,877 "
He Got Game,, ,1-May-98,Drama,R,"$21,567,853 ","$38,766,948 "
The Horse Whisperer,, ,15-May-98,Drama,PG-13,"$75,383,563 ","$135,497,531 "
"Six Days, Seven Nights",, ,12-Jun-98,Romantic Comedy,PG-13,"$74,339,294 ","$133,620,516 "
Mulan,, ,19-Jun-98,Adventure,G,"$120,620,254 ","$216,807,832 "
